200 18000
79 130 6
164 186 7
23 178 8
46 165 9
177 171 10
123 170 1
200 170 2
171 117 3
5 176 4
19 193 5
115 147 6
76 149 7
145 195 8
66 132 9
85 48 10
61 111 1
171 186 2
170 182 3
194 107 4
40 175 5
164 196 6
83 44 7
10 105 8
50 200 9
146 28 10
5 168 1
83 52 2
53 145 3
82 46 4
144 141 5
40 136 6
155 67 7
131 149 8
187 198 9
36 137 10
199 95 1
68 65 2
59 138 3
84 26 4
143 118 5
147 29 6
15 45 7
121 48 8
43 16 9
34 188 10
55 151 1
33 188 2
155 138 3
65 20 4
86 7 5
1 132 6
158 17 7
16 199 8
97 193 9
166 195 10
67 170 1
14 12 2
82 153 3
184 159 4
121 188 5
178 159 6
147 130 7
15 75 8
26 149 9
109 161 10
194 119 1
61 115 2
32 129 3
171 95 4
11 157 5
93 37 6
171 193 7
14 110 8
109 87 9
17 199 10
88 17 1
193 30 2
52 1 3
50 103 4
72 25 5
187 137 6
28 181 7
23 151 8
145 28 9
114 11 10
3 115 1
143 69 2
124 95 3
192 120 4
94 83 5
145 132 6
149 129 7
179 173 8
160 132 9
134 48 10
82 21 1
93 122 2
19 32 3
194 120 4
35 132 5
26 196 6
72 103 7
72 174 8
63 154 9
15 87 10
39 92 1
3 137 2
10 149 3
47 132 4
166 28 5
126 159 6
6 136 7
6 180 8
160 151 9
12 196 10
161 11 1
89 92 2
164 162 3
168 164 4
61 10 5
51 89 6
176 127 7
79 199 8
135 1 9
144 84 10
53 150 1
3 147 2
53 110 3
79 113 4
125 191 5
40 42 6
119 165 7
164 169 8
197 169 9
50 32 10
113 190 1
14 199 2
115 194 3
78 194 4
149 193 5
3 95 6
156 111 7
141 70 8
144 133 9
63 109 10
51 31 1
24 199 2
16 182 3
14 180 4
58 95 5
155 50 6
41 197 7
41 59 8
151 167 9
85 122 10
145 106 1
83 9 2
17 65 3
24 183 4
90 190 5
62 142 6
84 111 7
48 124 8
59 162 9
23 117 10
68 167 1
42 124 2
187 99 3
37 108 4
85 131 5
19 81 6
170 196 7
81 117 8
14 104 9
185 167 10
52 44 1
126 154 2
170 92 3
131 160 4
197 26 5
197 62 6
77 196 7
108 198 8
68 130 9
5 91 10
86 48 1
56 132 2
161 132 3
52 80 4
164 42 5
19 11 6
112 24 7
140 167 8
113 137 9
44 187 10
16 151 1
36 31 2
80 73 3
79 40 4
47 158 5
10 89 6
8 66 7
93 11 8
145 86 9
71 130 10
52 128 1
97 17 2
116 83 3
132 60 4
185 90 5
16 167 6
6 114 7
94 71 8
112 11 9
4 120 10
174 65 1
51 90 2
146 123 3
5 40 4
56 65 5
194 99 6
36 103 7
35 69 8
97 26 9
19 29 10
82 151 1
23 40 2
85 165 3
15 161 4
6 71 5
21 173 6
55 107 7
140 87 8
143 66 9
187 91 10
191 157 1
93 119 2
110 38 3
115 122 4
26 153 5
200 193 6
114 70 7
30 198 8
2 66 9
145 181 10
185 171 1
71 55 2
97 194 3
168 165 4
87 2 5
1 29 6
76 7 7
106 75 8
19 199 9
96 148 10
108 200 1
22 2 2
2 173 3
146 143 4
186 136 5
56 142 6
191 169 7
50 133 8
158 88 9
135 138 10
40 162 1
144 145 2
36 142 3
131 163 4
63 190 5
116 163 6
61 16 7
57 153 8
160 42 9
80 117 10
32 118 1
141 13 2
78 44 3
22 60 4
141 95 5
55 115 6
177 156 7
185 81 8
97 137 9
44 137 10
85 66 1
68 128 2
140 183 3
8 139 4
134 49 5
74 11 6
77 143 7
72 129 8
185 97 9
154 190 10
133 70 1
155 72 2
109 75 3
154 128 4
94 136 5
84 92 6
125 178 7
135 132 8
3 27 9
50 147 10
39 180 1
112 101 2
191 108 3
92 65 4
115 17 5
92 20 6
23 191 7
145 91 8
10 165 9
200 168 10
188 162 1
37 50 2
161 75 3
134 92 4
151 183 5
98 169 6
72 10 7
7 160 8
56 174 9
50 163 10
127 91 1
75 136 2
123 175 3
37 24 4
145 111 5
70 7 6
31 20 7
39 197 8
21 67 9
108 156 10
141 130 1
177 31 2
141 105 3
109 73 4
78 129 5
147 157 6
87 139 7
12 118 8
58 170 9
50 24 10
94 108 1
14 52 2
188 91 3
109 165 4
97 46 5
178 150 6
2 190 7
35 9 8
132 130 9
92 181 10
199 153 1
5 27 2
47 173 3
155 173 4
39 89 5
155 86 6
88 132 7
86 198 8
47 168 9
68 163 10
88 28 1
149 20 2
192 157 3
61 152 4
191 178 5
154 65 6
63 143 7
79 115 8
119 169 9
76 106 10
5 193 1
141 67 2
160 11 3
155 63 4
103 20 5
45 169 6
112 155 7
161 188 8
64 181 9
32 4 10
42 199 1
179 163 2
113 60 3
43 133 4
140 195 5
115 169 6
184 154 7
108 30 8
63 137 9
175 150 10
125 14 1
155 108 2
132 149 3
36 193 4
47 32 5
57 27 6
179 142 7
126 24 8
144 81 9
97 153 10
5 63 1
78 182 2
52 169 3
159 48 4
76 17 5
50 100 6
97 25 7
84 119 8
152 151 9
144 27 10
76 119 1
32 29 2
11 124 3
14 111 4
45 159 5
124 120 6
96 26 7
140 16 8
188 60 9
193 169 10
63 167 1
118 4 2
183 165 3
108 58 4
89 17 5
179 88 6
164 151 7
144 160 8
61 20 9
80 187 10
110 127 1
23 95 2
141 39 3
143 107 4
147 101 5
176 65 6
189 129 7
100 138 8
68 48 9
178 136 10
93 46 1
38 142 2
53 98 3
84 113 4
10 151 5
94 68 6
194 20 7
166 148 8
46 11 9
160 130 10
70 127 1
52 107 2
68 56 3
156 180 4
101 153 5
93 127 6
18 156 7
50 40 8
37 12 9
2 195 10
159 157 1
47 46 2
19 181 3
148 180 4
50 92 5
74 95 6
158 178 7
141 51 8
47 20 9
98 56 10
58 92 1
168 9 2
49 55 3
145 187 4
14 78 5
146 39 6
5 124 7
74 132 8
157 20 9
115 130 10
103 151 1
200 187 2
116 92 3
81 20 4
110 158 5
25 75 6
187 122 7
110 113 8
126 197 9
98 136 10
50 105 1
27 190 2
8 158 3
82 111 4
68 60 5
62 17 6
148 153 7
57 164 8
140 110 9
131 48 10
61 196 1
186 157 2
92 192 3
96 83 4
85 101 5
170 166 6
163 29 7
24 185 8
81 178 9
36 28 10
82 199 1
85 143 2
167 138 3
190 198 4
99 162 5
135 153 6
170 190 7
83 48 8
135 200 9
97 1 10
180 138 1
72 177 2
152 90 3
125 106 4
82 12 5
72 182 6
170 95 7
96 64 8
94 145 9
179 79 10
69 199 1
152 158 2
58 150 3
34 129 4
197 108 5
96 78 6
31 101 7
125 68 8
133 189 9
77 115 10
34 46 1
34 177 2
45 53 3
5 32 4
134 154 5
14 187 6
14 10 7
110 46 8
39 164 9
140 187 10
161 70 1
93 178 2
43 122 3
90 29 4
72 66 5
77 62 6
62 46 7
179 46 8
192 153 9
39 113 10
184 58 1
145 149 2
79 127 3
83 12 4
90 183 5
197 167 6
8 127 7
18 70 8
113 198 9
12 142 10
82 140 1
62 100 2
135 192 3
142 132 4
141 149 5
104 58 6
121 120 7
134 2 8
114 44 9
131 25 10
24 175 1
36 66 2
88 106 3
49 127 4
22 199 5
14 81 6
51 65 7
144 140 8
6 44 9
135 103 10
37 55 1
38 174 2
140 17 3
71 151 4
41 78 5
94 29 6
143 151 7
116 22 8
172 32 9
23 54 10
48 193 1
24 162 2
152 110 3
16 188 4
116 190 5
55 25 6
6 128 7
125 199 8
171 157 9
179 51 10
121 46 1
134 44 2
18 102 3
83 135 4
35 82 5
13 91 6
112 47 7
135 90 8
135 169 9
78 20 10
164 132 1
110 181 2
185 192 3
67 81 4
49 67 5
15 80 6
38 48 7
29 136 8
134 118 9
72 1 10
186 29 1
15 47 2
18 64 3
49 113 4
146 30 5
114 30 6
61 64 7
178 148 8
51 145 9
76 193 10
155 53 1
152 178 2
191 192 3
160 198 4
8 189 5
191 18 6
15 134 7
76 28 8
23 197 9
5 93 10
25 147 1
18 28 2
81 174 3
145 124 4
86 101 5
76 48 6
197 44 7
3 35 8
59 194 9
191 19 10
160 66 1
81 161 2
45 36 3
10 64 4
133 186 5
160 162 6
155 135 7
78 192 8
126 152 9
85 128 10
131 70 1
63 29 2
73 29 3
11 65 4
103 149 5
16 196 6
151 60 7
52 102 8
132 180 9
110 128 10
161 32 1
187 186 2
121 114 3
22 4 4
76 183 5
152 163 6
3 19 7
121 101 8
97 151 9
189 199 10
45 120 1
39 32 2
76 25 3
148 169 4
143 90 5
24 103 6
170 54 7
60 138 8
155 150 9
51 78 10
180 27 1
114 99 2
97 142 3
102 106 4
74 173 5
113 150 6
125 179 7
19 27 8
2 188 9
140 33 10
15 149 1
93 124 2
150 151 3
145 117 4
71 18 5
172 90 6
197 82 7
123 149 8
25 73 9
101 91 10
3 54 1
145 29 2
160 4 3
177 127 4
127 4 5
76 27 6
41 49 7
74 185 8
45 133 9
118 196 10
48 157 1
102 190 2
146 46 3
112 27 4
103 26 5
152 139 6
82 145 7
47 167 8
45 40 9
116 188 10
24 114 1
35 73 2
135 136 3
63 81 4
134 33 5
42 181 6
108 154 7
6 12 8
125 186 9
123 110 10
104 109 1
105 20 2
18 130 3
44 117 4
43 130 5
52 57 6
143 89 7
179 171 8
175 42 9
179 29 10
82 173 1
194 176 2
97 58 3
164 92 4
6 174 5
21 177 6
62 183 7
114 102 8
24 26 9
175 54 10
140 101 1
59 95 2
25 103 3
88 27 4
177 106 5
34 103 6
170 151 7
85 91 8
42 64 9
40 103 10
73 4 1
74 50 2
189 33 3
80 174 4
47 28 5
162 54 6
109 62 7
85 59 8
53 20 9
110 100 10
15 164 1
196 120 2
87 95 3
99 136 4
131 169 5
76 142 6
162 122 7
160 175 8
173 27 9
83 21 10
142 156 1
57 128 2
146 156 3
152 198 4
178 193 5
71 16 6
40 169 7
8 103 8
149 165 9
51 70 10
10 30 1
45 8 2
127 183 3
5 143 4
57 157 5
126 100 6
83 151 7
53 97 8
104 97 9
36 128 10
99 139 1
112 95 2
94 152 3
175 198 4
97 170 5
52 101 6
35 66 7
108 40 8
23 114 9
9 4 10
66 75 1
116 81 2
192 27 3
1 175 4
78 46 5
94 195 6
105 92 7
172 92 8
93 180 9
141 163 10
146 144 1
161 91 2
62 161 3
8 99 4
155 39 5
36 183 6
75 128 7
15 114 8
19 192 9
40 111 10
179 83 1
133 90 2
134 122 3
50 13 4
85 37 5
147 111 6
6 77 7
34 24 8
170 149 9
125 65 10
57 165 1
95 198 2
161 127 3
23 78 4
8 118 5
105 159 6
93 142 7
89 26 8
191 190 9
67 101 10
76 147 1
116 52 2
24 69 3
141 192 4
125 87 5
85 138 6
34 107 7
163 174 8
66 192 9
141 36 10
125 22 1
71 76 2
49 80 3
148 130 4
24 165 5
102 168 6
21 118 7
146 117 8
11 20 9
102 164 10
23 153 1
77 173 2
197 1 3
45 148 4
80 38 5
179 69 6
87 13 7
170 107 8
87 130 9
52 161 10
15 147 1
34 183 2
87 157 3
8 130 4
116 4 5
49 161 6
170 91 7
44 102 8
94 137 9
49 162 10
111 181 1
14 112 2
84 174 3
25 165 4
82 16 5
94 172 6
195 138 7
193 167 8
170 27 9
185 62 10
110 75 1
146 186 2
56 183 3
12 66 4
29 4 5
125 133 6
158 182 7
81 38 8
47 21 9
182 154 10
152 20 1
33 132 2
7 136 3
34 142 4
144 184 5
145 192 6
143 172 7
148 111 8
24 129 9
63 44 10
144 181 1
61 89 2
78 167 3
99 65 4
110 153 5
3 105 6
48 186 7
119 139 8
125 130 9
53 114 10
178 182 1
21 137 2
84 164 3
35 97 4
9 64 5
67 79 6
7 151 7
184 64 8
152 84 9
79 156 10
71 68 1
114 196 2
11 118 3
79 182 4
33 73 5
151 156 6
172 99 7
35 120 8
70 137 9
71 152 10
6 154 1
161 103 2
184 122 3
98 184 4
69 101 5
34 198 6
23 22 7
18 178 8
68 172 9
43 101 10
164 54 1
12 190 2
93 190 3
188 195 4
171 151 5
68 86 6
136 20 7
79 138 8
115 38 9
102 137 10
59 72 1
66 31 2
118 139 3
81 36 4
134 66 5
57 55 6
157 173 7
128 180 8
53 54 9
63 95 10
15 119 1
24 113 2
70 167 3
43 80 4
58 124 5
35 165 6
56 162 7
47 130 8
180 136 9
37 75 10
164 195 1
70 122 2
45 156 3
200 76 4
87 98 5
177 27 6
108 86 7
185 114 8
158 196 9
173 190 10
143 28 1
6 140 2
158 184 3
15 133 4
23 69 5
41 166 6
144 147 7
131 147 8
89 170 9
84 176 10
47 148 1
53 106 2
188 186 3
63 1 4
69 92 5
154 130 6
49 13 7
6 106 8
187 28 9
82 107 10
85 11 1
33 107 2
57 111 3
90 195 4
152 99 5
171 147 6
159 65 7
194 54 8
94 18 9
80 178 10
197 24 1
141 103 2
57 26 3
121 10 4
25 99 5
123 67 6
2 13 7
3 11 8
18 160 9
105 130 10
150 181 1
158 99 2
181 95 3
121 133 4
189 149 5
146 13 6
103 107 7
6 2 8
47 164 9
1 122 10
100 13 1
182 150 2
123 162 3
55 196 4
144 83 5
196 180 6
43 129 7
143 131 8
1 107 9
77 9 10
109 147 1
89 198 2
71 122 3
44 147 4
184 142 5
50 18 6
85 197 7
150 192 8
47 188 9
78 30 10
57 30 1
185 184 2
16 137 3
66 13 4
162 195 5
191 2 6
186 30 7
175 165 8
145 170 9
39 120 10
112 134 1
47 135 2
21 106 3
47 106 4
42 107 5
32 38 6
177 145 7
98 162 8
35 54 9
41 192 10
18 108 1
115 56 2
200 27 3
25 46 4
72 127 5
61 58 6
110 154 7
37 81 8
79 150 9
179 120 10
22 184 1
152 156 2
71 74 3
71 117 4
2 95 5
174 118 6
80 32 7
190 130 8
16 70 9
115 200 10
193 136 1
14 151 2
63 110 3
110 40 4
8 195 5
83 64 6
79 129 7
47 97 8
172 86 9
46 107 10
112 139 1
59 25 2
194 200 3
18 150 4
80 159 5
68 59 6
71 194 7
80 65 8
1 162 9
80 31 10
97 91 1
35 89 2
82 136 3
124 107 4
76 139 5
98 26 6
84 107 7
197 29 8
182 193 9
110 73 10
12 200 1
161 40 2
8 67 3
10 190 4
125 20 5
144 92 6
71 150 7
68 9 8
93 177 9
83 58 10
175 128 1
109 11 2
3 123 3
32 90 4
75 101 5
175 99 6
155 117 7
96 182 8
51 198 9
8 109 10
35 42 1
196 157 2
123 137 3
18 187 4
55 31 5
133 20 6
184 192 7
53 81 8
34 27 9
84 44 10
24 4 1
144 56 2
49 38 3
197 38 4
10 20 5
52 189 6
3 112 7
83 132 8
93 191 9
188 100 10
16 149 1
97 98 2
116 182 3
34 59 4
56 159 5
86 168 6
36 124 7
182 91 8
160 182 9
172 124 10
53 21 1
10 152 2
8 177 3
52 184 4
149 181 5
72 148 6
2 33 7
191 163 8
40 154 9
189 115 10
115 157 1
121 20 2
72 26 3
76 157 4
9 138 5
52 143 6
37 199 7
14 38 8
156 183 9
1 136 10
67 148 1
23 198 2
43 82 3
11 60 4
37 60 5
39 111 6
179 75 7
109 145 8
43 112 9
100 64 10
47 131 1
155 122 2
17 9 3
5 139 4
90 198 5
41 80 6
108 171 7
18 115 8
15 162 9
33 92 10
115 13 1
117 147 2
161 26 3
53 55 4
125 95 5
4 165 6
174 111 7
2 30 8
49 192 9
16 33 10
83 181 1
53 69 2
40 138 3
98 178 4
125 24 5
12 89 6
70 103 7
61 181 8
96 135 9
34 161 10
179 165 1
66 54 2
105 167 3
56 106 4
108 60 5
109 52 6
86 176 7
126 132 8
186 139 9
104 147 10
8 88 1
36 175 2
103 196 3
8 33 4
160 13 5
99 27 6
155 4 7
61 193 8
11 127 9
22 153 10
186 4 1
23 130 2
14 132 3
47 199 4
39 77 5
112 54 6
108 13 7
140 19 8
184 190 9
45 139 10
68 55 1
53 80 2
94 76 3
174 127 4
125 67 5
144 173 6
115 178 7
55 79 8
50 177 9
185 132 10
72 184 1
33 151 2
37 195 3
37 40 4
106 142 5
115 113 6
49 27 7
104 44 8
81 105 9
106 17 10
9 148 1
126 91 2
163 95 3
115 66 4
25 129 5
64 130 6
72 117 7
170 30 8
18 138 9
89 13 10
18 173 1
63 51 2
177 142 3
6 24 4
121 54 5
142 118 6
63 103 7
147 192 8
125 153 9
36 42 10
62 29 1
176 91 2
53 48 3
108 199 4
34 29 5
146 120 6
70 111 7
35 150 8
175 167 9
16 124 10
185 154 1
1 196 2
96 87 3
148 128 4
78 86 5
7 169 6
35 81 7
2 115 8
19 64 9
161 90 10
35 75 1
72 110 2
26 42 3
94 37 4
141 178 5
46 182 6
62 81 7
96 128 8
12 48 9
189 148 10
117 175 1
189 174 2
3 143 3
60 199 4
180 190 5
22 106 6
193 138 7
185 60 8
89 192 9
72 187 10
116 160 1
12 152 2
126 177 3
80 129 4
53 119 5
69 158 6
112 147 7
168 193 8
194 65 9
35 105 10
36 186 1
93 193 2
177 131 3
96 175 4
43 190 5
187 120 6
114 32 7
155 51 8
19 99 9
143 195 10
106 30 1
39 72 2
185 33 3
39 137 4
87 11 5
89 111 6
146 31 7
93 147 8
133 168 9
12 165 10
125 183 1
90 148 2
140 69 3
151 127 4
183 136 5
109 21 6
63 139 7
14 169 8
8 160 9
175 13 10
93 24 1
27 91 2
39 101 3
68 75 4
8 157 5
96 69 6
72 172 7
59 180 8
179 54 9
74 156 10
94 87 1
88 100 2
96 14 3
82 102 4
103 150 5
11 128 6
23 109 7
79 188 8
2 44 9
59 176 10
12 64 1
168 154 2
177 13 3
110 157 4
10 11 5
21 152 6
112 52 7
92 156 8
131 17 9
36 166 10
184 54 1
148 27 2
22 182 3
5 78 4
34 76 5
50 185 6
6 142 7
123 152 8
40 166 9
45 59 10
141 115 1
155 38 2
19 95 3
176 173 4
176 4 5
51 188 6
67 182 7
150 154 8
112 91 9
50 130 10
77 108 1
126 143 2
49 138 3
82 180 4
134 10 5
61 13 6
85 152 7
63 67 8
19 17 9
8 168 10
114 58 1
163 119 2
140 147 3
15 155 4
87 198 5
121 41 6
133 9 7
196 156 8
126 27 9
146 164 10
77 133 1
3 4 2
143 40 3
113 132 4
152 101 5
90 176 6
22 156 7
64 136 8
114 169 9
189 132 10
74 60 1
63 9 2
144 166 3
121 180 4
83 24 5
51 10 6
147 138 7
73 66 8
34 162 9
118 198 10
126 175 1
3 12 2
125 168 3
179 137 4
144 34 5
80 165 6
16 55 7
98 142 8
87 133 9
141 24 10
158 31 1
144 187 2
45 61 3
184 20 4
22 62 5
150 147 6
47 29 7
177 139 8
109 100 9
82 200 10
126 35 1
18 12 2
97 149 3
12 70 4
21 111 5
72 67 6
19 44 7
51 150 8
10 196 9
197 150 10
158 100 1
45 181 2
80 110 3
24 31 4
45 137 5
160 142 6
63 32 7
94 143 8
5 138 9
114 106 10
109 140 1
102 198 2
146 107 3
133 4 4
180 181 5
49 110 6
31 130 7
172 129 8
144 41 9
112 86 10
116 155 1
104 50 2
142 150 3
82 59 4
74 142 5
144 172 6
155 24 7
96 196 8
51 167 9
53 82 10
57 162 1
62 171 2
77 167 3
16 178 4
146 180 5
142 162 6
47 64 7
74 176 8
1 17 9
148 156 10
195 193 1
103 159 2
45 184 3
158 163 4
166 192 5
89 162 6
179 55 7
108 190 8
22 169 9
54 183 10
72 27 1
88 124 2
80 86 3
191 162 4
123 153 5
71 66 6
179 1 7
108 138 8
73 151 9
199 190 10
23 141 1
169 181 2
146 6 3
63 12 4
146 2 5
68 176 6
107 199 7
26 176 8
84 32 9
163 120 10
35 196 1
57 20 2
43 117 3
177 188 4
123 189 5
172 128 6
188 151 7
34 176 8
90 182 9
163 111 10
141 19 1
15 124 2
80 64 3
18 132 4
73 99 5
185 147 6
121 27 7
96 109 8
15 48 9
76 46 10
18 32 1
13 165 2
50 183 3
193 198 4
126 198 5
93 189 6
24 29 7
6 127 8
104 48 9
64 120 10
124 130 1
15 144 2
61 171 3
140 171 4
44 174 5
118 138 6
160 73 7
104 119 8
22 44 9
82 32 10
9 136 1
22 147 2
69 118 3
82 88 4
8 77 5
5 13 6
103 132 7
175 192 8
61 19 9
81 149 10
8 41 1
52 36 2
64 91 3
25 162 4
94 113 5
146 175 6
126 101 7
10 199 8
197 73 9
133 150 10
15 182 1
33 174 2
177 38 3
2 111 4
122 95 5
126 66 6
77 152 7
3 45 8
75 154 9
41 103 10
85 192 1
59 181 2
109 60 3
171 48 4
62 199 5
17 132 6
5 88 7
22 167 8
57 42 9
44 170 10
76 101 1
93 70 2
178 29 3
14 100 4
21 32 5
72 32 6
22 99 7
115 149 8
109 178 9
131 66 10
96 107 1
187 65 2
102 40 3
123 92 4
70 132 5
152 31 6
83 124 7
14 107 8
155 154 9
157 130 10
16 7 1
116 164 2
50 181 3
145 46 4
39 33 5
53 24 6
15 195 7
103 162 8
45 182 9
177 110 10
16 176 1
117 107 2
141 73 3
15 24 4
123 30 5
71 25 6
79 32 7
77 32 8
26 169 9
109 42 10
85 151 1
166 111 2
107 65 3
200 195 4
131 178 5
85 162 6
68 57 7
38 196 8
8 18 9
125 111 10
38 75 1
21 167 2
146 33 3
115 32 4
116 76 5
18 136 6
146 184 7
158 64 8
71 148 9
189 138 10
168 4 1
28 64 2
106 169 3
50 161 4
58 103 5
40 118 6
8 11 7
57 171 8
49 132 9
77 107 10
77 16 1
61 135 2
104 136 3
162 173 4
143 190 5
107 129 6
43 134 7
114 162 8
28 124 9
121 124 10
38 132 1
196 91 2
24 161 3
89 86 4
33 17 5
166 193 6
135 113 7
87 172 8
14 84 9
158 9 10
32 119 1
188 119 2
78 199 3
52 62 4
44 167 5
11 101 6
81 118 7
15 109 8
74 139 9
151 30 10
10 111 1
80 188 2
143 58 3
53 67 4
75 4 5
156 165 6
170 198 7
23 73 8
171 60 9
200 180 10
121 139 1
125 196 2
21 175 3
131 198 4
70 142 5
15 186 6
19 58 7
189 78 8
159 180 9
161 138 10
70 196 1
146 72 2
93 188 3
185 120 4
16 175 5
145 156 6
97 113 7
14 130 8
146 199 9
116 144 10
8 84 1
145 139 2
179 118 3
97 187 4
126 23 5
3 198 6
121 142 7
126 16 8
81 7 9
97 76 10
84 142 1
86 180 2
78 29 3
93 184 4
13 27 5
83 42 6
82 164 7
34 167 8
43 142 9
62 78 10
94 186 1
164 122 2
15 56 3
41 105 4
30 20 5
32 142 6
33 66 7
66 136 8
102 182 9
123 52 10
96 133 1
125 158 2
141 199 3
21 160 4
135 163 5
28 157 6
185 161 7
84 58 8
193 120 9
134 114 10
22 61 1
81 106 2
175 182 3
134 74 4
56 186 5
174 66 6
161 193 7
170 137 8
146 158 9
86 31 10
34 192 1
60 65 2
45 134 3
118 120 4
28 153 5
43 127 6
71 123 7
16 30 8
45 74 9
63 70 10
121 129 1
127 54 2
125 47 3
123 40 4
135 102 5
70 147 6
62 170 7
109 200 8
179 30 9
59 122 10
147 153 1
70 48 2
143 189 3
164 157 4
84 138 5
145 44 6
1 114 7
41 1 8
50 51 9
27 120 10
15 49 1
24 19 2
161 7 3
22 87 4
55 66 5
68 114 6
94 164 7
34 13 8
48 60 9
83 56 10
63 18 1
24 195 2
189 168 3
109 175 4
34 61 5
43 55 6
105 149 7
48 120 8
112 18 9
39 171 10
94 17 1
5 187 2
156 199 3
97 10 4
6 158 5
19 151 6
14 61 7
5 118 8
5 161 9
24 189 10
71 22 1
105 160 2
133 62 3
146 41 4
60 107 5
178 137 6
142 129 7
87 19 8
57 122 9
126 117 10
191 189 1
121 68 2
52 165 3
113 64 4
143 31 5
88 91 6
151 4 7
108 17 8
85 53 9
126 79 10
79 99 1
63 111 2
89 160 3
85 102 4
6 120 5
97 20 6
195 127 7
114 131 8
116 31 9
17 101 10
81 142 1
44 163 2
51 59 3
162 129 4
148 165 5
25 170 6
186 180 7
132 100 8
115 110 9
50 25 10
118 20 1
174 100 2
73 31 3
197 16 4
138 91 5
133 59 6
112 136 7
144 174 8
50 110 9
87 132 10
83 78 1
108 79 2
175 60 3
79 194 4
44 168 5
74 131 6
35 100 7
94 197 8
1 32 9
96 138 10
33 137 1
94 107 2
49 2 3
79 98 4
114 9 5
123 106 6
192 107 7
141 188 8
43 136 9
75 186 10
75 137 1
170 73 2
107 190 3
96 183 4
63 76 5
85 69 6
88 118 7
145 30 8
84 183 9
123 178 10
19 60 1
155 52 2
135 173 3
193 27 4
141 162 5
57 145 6
94 138 7
46 130 8
67 158 9
45 28 10
50 67 1
2 150 2
133 72 3
179 152 4
18 58 5
85 154 6
123 99 7
168 124 8
188 169 9
50 98 10
94 188 1
125 93 2
143 62 3
12 95 4
96 27 5
74 35 6
166 130 7
188 7 8
24 145 9
152 26 10
50 101 1
190 20 2
1 187 3
22 46 4
18 122 5
67 193 6
194 174 7
40 193 8
134 183 9
14 21 10
40 151 1
138 54 2
52 192 3
179 49 4
45 153 5
97 122 6
86 139 7
143 158 8
23 149 9
6 87 10
82 100 1
178 48 2
113 27 3
104 40 4
115 95 5
43 25 6
63 21 7
16 73 8
64 54 9
85 185 10
79 105 1
143 165 2
17 192 3
104 57 4
159 20 5
62 19 6
135 62 7
1 81 8
35 180 9
28 196 10
47 195 1
8 13 2
195 199 3
191 136 4
53 187 5
159 150 6
18 76 7
50 193 8
98 73 9
47 181 10
3 175 1
45 191 2
144 61 3
101 157 4
160 150 5
79 111 6
103 42 7
3 84 8
88 157 9
11 99 10
30 111 1
112 106 2
109 101 3
143 17 4
102 153 5
118 137 6
93 7 7
30 157 8
109 196 9
70 186 10
61 80 1
146 137 2
6 172 3
114 38 4
92 167 5
8 31 6
37 80 7
71 106 8
96 12 9
160 148 10
25 190 1
57 184 2
2 81 3
39 182 4
13 190 5
157 124 6
94 63 7
123 199 8
85 178 9
87 101 10
24 42 1
44 120 2
112 57 3
59 169 4
114 66 5
26 181 6
76 195 7
80 70 8
194 163 9
50 190 10
46 30 1
63 166 2
37 31 3
7 156 4
25 107 5
86 111 6
57 166 7
49 102 8
113 195 9
93 152 10
96 127 1
143 13 2
34 95 3
189 46 4
82 186 5
3 189 6
109 192 7
29 165 8
189 171 9
106 29 10
142 173 1
189 4 2
17 100 3
77 26 4
48 195 5
50 90 6
33 184 7
110 148 8
62 80 9
89 42 10
70 139 1
163 46 2
18 186 3
93 57 4
71 102 5
22 84 6
162 111 7
133 145 8
144 194 9
84 198 10
19 78 1
22 75 2
45 46 3
70 90 4
124 54 5
160 90 6
134 138 7
174 99 8
58 196 9
195 91 10
191 52 1
112 103 2
133 167 3
100 130 4
168 157 5
184 165 6
5 2 7
55 7 8
166 128 9
96 18 10
51 69 1
47 68 2
78 158 3
62 153 4
40 139 5
93 4 6
105 171 7
18 193 8
22 52 9
80 9 10
51 115 1
77 183 2
119 196 3
14 101 4
144 136 5
63 130 6
1 92 7
104 170 8
155 37 9
116 194 10
144 182 1
49 128 2
173 124 3
25 167 4
15 35 5
104 26 6
157 27 7
148 183 8
166 91 9
51 81 10
25 11 1
80 149 2
174 173 3
133 69 4
37 167 5
88 13 6
121 137 7
84 114 8
18 97 9
104 68 10
154 100 1
81 26 2
160 101 3
109 110 4
135 76 5
197 98 6
84 46 7
113 129 8
90 166 9
17 4 10
99 48 1
179 90 2
2 25 3
134 31 4
110 165 5
7 9 6
70 113 7
197 68 8
43 98 9
161 60 10
140 122 1
6 73 2
133 130 3
10 198 4
155 158 5
178 149 6
40 66 7
97 62 8
77 169 9
67 163 10
71 140 1
42 91 2
63 174 3
22 11 4
8 34 5
26 183 6
41 132 7
98 32 8
19 163 9
8 167 10
84 130 1
148 136 2
47 27 3
19 89 4
70 20 5
71 132 6
117 119 7
5 142 8
145 25 9
46 42 10
8 64 1
79 157 2
84 48 3
9 46 4
179 111 5
134 82 6
49 194 7
145 64 8
45 49 9
197 190 10
141 50 1
167 95 2
135 174 3
158 91 4
6 153 5
184 193 6
193 180 7
6 129 8
189 98 9
39 80 10
6 41 1
135 65 2
9 129 3
86 58 4
34 187 5
85 96 6
12 75 7
88 165 8
45 121 9
109 184 10
191 182 1
63 173 2
68 157 3
195 173 4
3 171 5
74 135 6
71 162 7
